SUMMARY,CALENDAR
aa: p1,Exames
als - p1,Exames
probcomp - t1,Exames
aa: p2,Exames
trabalho 2 aa,Exames
probcomp - t2,Exames
als - p2,Exames
aa: p3,Exames
apresentacao estagio,Exames
trabalho 3 aa,Exames
probcomp - p2,Exames
trabalho als,Exames
projeto final psr,Exames
birusamba de verao,Social
t2 calculo,Exames
p3 calculo,Exames
dr bruno,Saúde
quiropraxia,Saúde
exame de imagem,Saúde
cirurgiao,Saúde
ortopedista,Saúde
dermatologista,Saúde
exame de sangue,Saúde
endoscopia,Saúde
dentista,Saúde
exames de imagem,Saúde
bioimpedancia,Saúde
oftalmologista,Saúde
livre,Saúde
viviane nutri,Saúde
dra. vania,Saúde
pilates,Saúde
nutricionista,Saúde
hogwarts legacy,Games
minecraft: legends,Games
diablo iv,Games
gmtk gamejam,Games
academia,Exercícios
futevolei,Exercícios
academia ideal,Exercícios
muay thai,Exercícios
basquete puc,Exercícios
spinning,Exercícios
aula da liane,Pessoal
casa do felipe,Pessoal
aniversario da minha irma,Pessoal
aniversario da minha mae,Pessoal
ps plus,Pessoal
meu aniversario,Pessoal
aniversario do meu pai,Pessoal
lembrar marie,Pessoal
formatura csa,Pessoal
help!,Pessoal
aula,PUC
baile da gaiola,Pessoal
amazonia,Pessoal
aniversario de namoro,Pessoal
estudar calculo e ficha 2,Pessoal
season nova rl,Pessoal
black friday,Pessoal
facetime alessandra,Pessoal
estudo,Pessoal
arrumar,Pessoal
barra shopping,Pessoal
[nubank] vencimento da fatura de marco,Pessoal
almoco,Pessoal
feriado,Pessoal
itaipava,Social
niver,Pessoal
foco,Pessoal
primo rico,Pessoal
devolucao zara,Pessoal
reuniao de cronograma do acessorio,Pessoal
corte masculino,Pessoal
gravacao comunicacao intercriar,Pessoal
oportunidade guelt | felipe khouri gameleira,Pessoal
wwdc-ss crash challenge,Pessoal
aldeia,Social
call checkpoint acessorio,Pessoal
aldeia sabado [feriado],Pessoal
aldeia sabado,Pessoal
gravacao acessorio,Pessoal
fone,Pessoal
quadcast,Pessoal
gmkt jam - entrega,Pessoal
reuniao com outsystems,Pessoal
wwdc teaching - kick off,Pessoal
wwdc teaching - first steps,Pessoal
avaliacao imobiliaria,Pessoal
wwdc ilearning,Pessoal
mentoria inversu (felipe gameleira),Pessoal
decompress,Pessoal
mentoria inversu - felipe gameleira,Pessoal
reservation at yusha,Pessoal
entrevista estagio: felipe,Pessoal
entrevista estagio desenvolvedor: felipe,Pessoal
estudar calculo,Pessoal
ai salon rio de janeiro,Pessoal
ia &,Pessoal
ai salon rio de janeiro #4,Pessoal
ajuste de matricula,PUC
ajuste de matricula ii,PUC
volta as aulas,PUC
inf1301 - programacao modular,PUC
inf1018 - software basico,PUC
mat1260 - algebra linear 1,PUC
de para,PUC
t1 algebra,PUC
inf1018 - monitoria,PUC
simulador de matricula,PUC
matricula puc,PUC
inf1636 - programacao orientada a objetos,PUC
inf1027 - teste e medicao de software,PUC
inf1383 - bancos de dados,PUC
inf1316 - sistemas operacionais,PUC
inf1403 - interacao humano computador,PUC
de/para regimental,PUC
so: lab 1,PUC
ferias puc,PUC
inf1032 - ciencia de dados,PUC
inf1022 - analisadores lexicos e sintaticos,PUC
inf1640 - redes de computadores,PUC
inf1631 - estruturas discretas,PUC
cre1141 - etica crista,PUC
inf1028 - projeto e construcao de sistemas,PUC
inf1307 - desenvolvimento de jogos,PUC
inf1771 - inteligencia artificial,PUC
inf1010 - estruturas de dados avançadas,PUC
inf1338 - large language models,PUC
inf1721 - analise de algoritmos,PUC
inf1036 - probabilidade computacional,PUC
inf1350 - programacao de sistemas reativos,PUC
inf1920 - aula expositiva,PUC
conversa tcc felipe gameleira,PUC
mat4162 - calculo ii,PUC
inf1314 - gerando startup com inteligencia artificial,PUC
reuniao tcc,PUC
teste calculo ii,PUC
devs no pilotis,PUC
ingresso harry,Social
niver gabi,Social
nover sofia k,Social
thor,Social
the avengers,Social
rafael portugal,Social
niver giovanna lopes,Social
churrasclerigos,Social
almoco vo,Social
santa sexta,Social
niver gi fortes,Social
casamento,Social
rock in rio,Social
niver amanda,Social
niver luana maia,Social
niver lara,Social
niver mae,Social
ballet marina,Social
harry styles - love on tour - rio de janeiro,Social
pulo big jump,Social
resenha felipe,Social
niver isabella,Social
festa niver,Social
niver felipe,Social
niver laura,Social
niver aninha,Social
niver rapha,Social
prime day,Social
niver julia,Social
niver carol benchimol,Social
festa duda castro,Social
churras marcos,Social
festa re,Social
viagem secretario,Social
os barbixas,Social
rpg goulart,Social
churras caio,Social
niver millena,Social
niver lu,Social
niver caroli,Social
niver be,Social
formatura renata,Social
niver lucca,Social
niver caio,Social
churras ze,Social
apple developer academy,Trabalho
animate ideas with keynote,Trabalho
programar cena,Trabalho
lab,Trabalho
apple,Trabalho
academy,Trabalho
wwdc,Trabalho
reuniao nick + tio,Trabalho
churrasco academy,Trabalho
trabalho i9,Trabalho
i9 cultura,Trabalho
reuniao prog atlas,Trabalho
ecoa,Trabalho
conversa bruno,Trabalho
reuniao play time - goulart,Trabalho
reuniao play time,Trabalho
m3,Trabalho
petropolis,Viagens
petropolis torres,Viagens
petropolis juliana,Viagens
