SUMMARY,DTSTART,DTEND,CALENDAR,DURATION,CREATED,TITLE
lanche da manha,2025-01-22 10:00:00,2025-01-22 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-22 12:30:00,2025-01-22 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-22 16:00:00,2025-01-22 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-22 18:00:00,2025-01-22 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-22 20:00:00,2025-01-22 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-23 08:00:00,2025-01-23 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-23 10:00:00,2025-01-23 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-23 12:30:00,2025-01-23 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-23 16:00:00,2025-01-23 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-23 18:00:00,2025-01-23 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-23 20:00:00,2025-01-23 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-24 08:00:00,2025-01-24 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-24 10:00:00,2025-01-24 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-24 12:30:00,2025-01-24 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-24 16:00:00,2025-01-24 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-24 18:00:00,2025-01-24 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-24 20:00:00,2025-01-24 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-25 08:00:00,2025-01-25 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-25 10:00:00,2025-01-25 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-25 12:30:00,2025-01-25 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-25 16:00:00,2025-01-25 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-25 18:00:00,2025-01-25 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-25 20:00:00,2025-01-25 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-26 08:00:00,2025-01-26 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-26 10:00:00,2025-01-26 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-26 12:30:00,2025-01-26 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-26 16:00:00,2025-01-26 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-26 18:00:00,2025-01-26 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-26 20:00:00,2025-01-26 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-27 08:00:00,2025-01-27 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-27 10:00:00,2025-01-27 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-27 12:30:00,2025-01-27 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-27 16:00:00,2025-01-27 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-27 18:00:00,2025-01-27 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-27 20:00:00,2025-01-27 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-28 08:00:00,2025-01-28 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-28 10:00:00,2025-01-28 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-28 12:30:00,2025-01-28 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-28 16:00:00,2025-01-28 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-28 18:00:00,2025-01-28 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-28 20:00:00,2025-01-28 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-29 08:00:00,2025-01-29 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-29 10:00:00,2025-01-29 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-29 12:30:00,2025-01-29 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-29 16:00:00,2025-01-29 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-29 18:00:00,2025-01-29 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-29 20:00:00,2025-01-29 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-30 08:00:00,2025-01-30 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-30 10:00:00,2025-01-30 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-30 12:30:00,2025-01-30 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-30 16:00:00,2025-01-30 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-30 18:00:00,2025-01-30 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-30 20:00:00,2025-01-30 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-01-31 08:00:00,2025-01-31 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-01-31 10:00:00,2025-01-31 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-01-31 12:30:00,2025-01-31 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-01-31 16:00:00,2025-01-31 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-01-31 18:00:00,2025-01-31 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-01-31 20:00:00,2025-01-31 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-01 08:00:00,2025-02-01 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-01 10:00:00,2025-02-01 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-01 12:30:00,2025-02-01 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-01 16:00:00,2025-02-01 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-01 18:00:00,2025-02-01 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-01 20:00:00,2025-02-01 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-02 08:00:00,2025-02-02 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-02 10:00:00,2025-02-02 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-02 12:30:00,2025-02-02 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-02 16:00:00,2025-02-02 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-02 18:00:00,2025-02-02 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-02 20:00:00,2025-02-02 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-03 08:00:00,2025-02-03 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-03 10:00:00,2025-02-03 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-03 12:30:00,2025-02-03 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-03 16:00:00,2025-02-03 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-03 18:00:00,2025-02-03 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-03 20:00:00,2025-02-03 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-04 08:00:00,2025-02-04 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-04 10:00:00,2025-02-04 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-04 12:30:00,2025-02-04 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-04 16:00:00,2025-02-04 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-04 18:00:00,2025-02-04 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-04 20:00:00,2025-02-04 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-05 08:00:00,2025-02-05 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-05 10:00:00,2025-02-05 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-05 12:30:00,2025-02-05 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-05 16:00:00,2025-02-05 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-05 18:00:00,2025-02-05 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-05 20:00:00,2025-02-05 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-06 08:00:00,2025-02-06 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-06 10:00:00,2025-02-06 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-06 12:30:00,2025-02-06 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-06 16:00:00,2025-02-06 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-06 18:00:00,2025-02-06 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-06 20:00:00,2025-02-06 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-07 08:00:00,2025-02-07 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-07 10:00:00,2025-02-07 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-07 12:30:00,2025-02-07 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-07 16:00:00,2025-02-07 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-07 18:00:00,2025-02-07 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-07 20:00:00,2025-02-07 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-08 08:00:00,2025-02-08 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-08 10:00:00,2025-02-08 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-08 12:30:00,2025-02-08 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-08 16:00:00,2025-02-08 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-08 18:00:00,2025-02-08 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-08 20:00:00,2025-02-08 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-09 08:00:00,2025-02-09 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-09 10:00:00,2025-02-09 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-09 12:30:00,2025-02-09 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-09 16:00:00,2025-02-09 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-09 18:00:00,2025-02-09 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-09 20:00:00,2025-02-09 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-10 08:00:00,2025-02-10 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-10 10:00:00,2025-02-10 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-10 12:30:00,2025-02-10 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-10 16:00:00,2025-02-10 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
pre-treino,2025-02-10 18:00:00,2025-02-10 18:05:00,Alimentação,0.083333333333333,2025-01-07 10:17:00,Take pre-workout
jantar,2025-02-10 20:00:00,2025-02-10 20:30:00,Alimentação,0.5,2025-01-07 10:18:00,Have dinner
cafe da manha,2025-02-11 08:00:00,2025-02-11 08:20:00,Alimentação,0.33333333333333,2025-01-07 10:12:00,Have breakfast
lanche da manha,2025-02-11 10:00:00,2025-02-11 10:05:00,Alimentação,0.083333333333333,2025-01-07 10:14:00,Have a morning snack
almoco,2025-02-11 12:30:00,2025-02-11 13:00:00,Alimentação,0.5,2025-01-07 10:15:00,Have lunch
lanche da tarde,2025-02-11 16:00:00,2025-02-11 16:15:00,Alimentação,0.25,2025-01-07 10:16:00,Have an afternoon snack
