TITLE,CALENDAR
Entrevista Estágio: Felipe,Pessoal
Estudar Cálculo,Pessoal
Estudar cálculo e ficha 2,Pessoal
Estudo,Pessoal
Exame de Imagem,Saúde
Exame de Sangue,Saúde
Exames de Imagem,Saúde
FOCO,Pessoal
FaceTime Alessandra,Pessoal
Feriado,Pessoal
Ferias PUC,PUC
Festa Duda Castro,Social
Festa Niver,Social
Festa Re,Social
Fone,Pessoal
Formatura CSA,Pessoal
Formatura Lu,Social
Formatura Renata,Social
Futevôlei,Exercícios
GMKT Jam - Entrega,Pessoal
GMTK GameJam,Games
Graduação Muay Thai,Compromisso
Gravação AcessoRio,Pessoal
Gravação Comunicação InterCriar,Pessoal
HARRY STYLES - LOVE ON TOUR - RIO DE JANEIRO,Social
Help!,Pessoal
Hogwarts Legacy,Games
I9 Cultura,Trabalho
IA &,Pessoal
IHC: Apresentação,Exames
IHC: Trab II,Exames
INF1010 - EDA,PUC
INF1018 - MONITORIA,PUC
INF1018 - SOFTWARE BÁSICO,PUC
INF1022 - ALS,PUC
INF1022 - Analisadores Léx. e Sint.,PUC
INF1027 - Teste e Medição de Software,PUC
INF1028 - Projeto e Construção de Sistemas,PUC
INF1032 - Ciência de Dados,PUC
INF1036 - Prob Comp,PUC
INF1301 - PROGRAMAÇÃO MODULAR,PUC
INF1301 - Relatório Plano de Ação,Exames
INF1307 - Games,PUC
INF1314 - Startup IA,PUC
INF1316 - SO,PUC
INF1338 - LLM,PUC
INF1350 - Prog Sis Reat,PUC
INF1383 - Bancos de Dados,PUC
INF1403 - IHC,PUC
INF1410 - Gerenc Proj Inf,PUC 👻
INF1410 - Gerenc Proj Inf,PUC
INF1608 - Análise Numérica,PUC 👻
INF1608 - Análise Numérica,PUC
INF1629 - P. Eng. de Software,PUC
INF1629 - P. Eng. de Software,PUC 👻
INF1631 - Estruturas Discretas,PUC
INF1636 - Programação Orientada à Objetos,PUC
INF1640 - Redes de Computadores,PUC
INF1721 - AA,PUC
INF1771 - IA,PUC
INF1920 - Aula Expositiva,PUC
INF2471 - Prob Comp,PUC
Ingresso Harry,Social
Itaipava,Pessoal
Itaipava,Social
LAB,Trabalho
LIVRE,Saúde
Lembrar Marie,Pessoal
M3,Trabalho
MAT1162 - CÁLCULO A VÁRIAS VARIÁVEIS I,PUC
MAT1260 - ÁLGEBRA LINEAR 1,PUC
MAT4162 - Cálculo II,PUC
Mago da Música link,Compromisso
Matrícula PUC,PUC
Mentoria Inversu (Felipe Gameleira),Pessoal
Mentoria Inversu - Felipe Gameleira,Pessoal
Meu Aniversário,Pessoal
Minecraft: Legends,Games
Morgan Jay,Pessoal
Muay Thai,Pessoal
Muay Thai,Exercícios
Niver,Pessoal
Niver Amanda,Social
Niver Aninha,Social
Niver Be,Social
Niver Caio,Social
Niver Carol Benchimol,Social
Niver Caroli,Social
Niver Felipe,Social
Niver Gabi,Social
Niver Gi Fortes,Social
Niver Giovanna Lopes,Social
Niver Isabella,Social
Niver Julia,Social
Niver Lara,Social
Niver Laura,Social
Niver Lu,Social
Niver Luana Maia,Social
Niver Lucca,Social
Niver Millena,Social
Niver Mãe,Social
Niver Rapha,Social
Nover Sofia K,Social
Nutricionista,Saúde
Oftalmologista,Saúde
Oportunidade Guelt | Felipe Khouri Gameleira,Pessoal
Ortopedista,Saúde
Os Barbixas,Social
P1 Cálculo,Exames
P1 IAC,Exames
P1 INF1018,Exames
P1 ProgMod,Exames
P1 Álgebra,Exames
P2 - EDA,Exames
P2 Cálculo,Exames
P2 IAC,Exames
P2 INF1018,Exames
P2 ProgMod,Exames
P2 Álgebra,Exames
P3,Compromisso
P3 Cálculo,Exames
P3 Álgebra,Exames
PCS: Apresentação,Exames
PCS: Apresentação G2,Exames
PF - EDA,Exames
POO: Apresentação,Exames
POO: P1,Exames
POO: Trab I,Exames
POO: Trab II,Exames
POO: Trab III,Exames
POO: Trab IV,Exames
PSR: MP1,Exames
Parabéns!,Pessoal
Petrópolis,Viagens
Petrópolis Juliana,Viagens
Petrópolis Torres,Viagens
Pilates,Saúde
Prime Day,Social
Primo rico,Pessoal
ProbComp - P2,Exames
ProbComp - T1,Exames
ProbComp - T2,Exames
Programar Cena,Trabalho
Projeto Final PSR,Exames
Prova Auto Escola,Exames
Ps Plus,Pessoal
Psicóloga,Compromisso
Psicóloga,Saúde
Psicólogo,Saúde
Psiquiatra,Saúde
Pulo Big Jump,Social
QuadCast,Pessoal
Quiropraxia,Saúde
RM,Compromisso
RPG Goulart,Social
Rafael Portugal,Social
Redes: P1,Exames
Redes: P2,Exames
Redes: Trab 1,Exames
Resenha Felipe,Social
Reservation at Yusha,Pessoal
Reunião Nick + Tio,Trabalho
Reunião Play Time,Trabalho
Reunião Play Time - Goulart,Trabalho
Reunião Prog ATLAS,Trabalho
Reunião TCC,PUC
Reunião com OutSystems,Pessoal
Reunião de cronograma do AcessoRio,Pessoal
Rock In Rio,Social
SEASON NOVA RL,Pessoal
SO: Lab 1,PUC
SO: Lab 2,Exames
SO: Lab 5,Exames
SO: Lab 6,Exames
SO: P1,Exames
SO: P1,PUC
SO: P2,Exames
SO: Trab 1,Exames
SO: Trab 2,Exames
Santa Sexta,Social
Semana 10,Exames
Semana 11,Exames
Semana 6,Exames
Semana 7,Exames
Semana 8,Exames
Semana 9,Exames
Simulador de Matrícula,PUC
Spinning,Exercícios
T1 Maple Álgebra,Exames
T1 Álgebra,PUC
T2 Cálculo,Exames
T2 Álgebra,Exames
T3 Álgebra,Exames
T4 Álgebra,Exames
TMS: Atividade 3,Exames
TMS: P2,Exames
Teste 1 ProbComp,Exames
Teste 2 ProbComp,Exames
Teste Cálculo II,PUC
Teste e Medição: Atividade 1,Exames
Teste e Medção: P1,Exames
Tete 2 Maple Álgebra,Exames
The Avengers,Social
Thor,Social
Trab G1 ProbComp,Exames
Trab INF1018,Exames
Trabalho 2 AA,Exames
Trabalho 2 IAC,Exames
Trabalho 3 AA,Exames
Trabalho 3 IAC,Exames
Trabalho 4 IAC,Exames
Trabalho ALS,Exames
Trabalho I9,Trabalho
Viagem Secretário,Social
Visita Rede,Compromisso
Viviane Nutri,Saúde
Volta às Aulas,PUC
Volta às aulas,PUC
WWDC,Trabalho
WWDC Teaching - First Steps,Pessoal
WWDC Teaching - Kick Off,Pessoal
WWDC iLearning,Pessoal
WWDC-SS Crash Challenge,Pessoal
ZION,Compromisso
Zion,Compromisso
[Nubank] Vencimento da Fatura de Março,Pessoal
⏱ 0:03,RescueTime
⏱ 0:32,RescueTime
⏱ 0:57,RescueTime
⏱ 12:34,RescueTime
⏱ 1:14,RescueTime
⏱ 1:44,RescueTime
⏱ 1:48,RescueTime
⏱ 1:51,RescueTime
⏱ 2:01,RescueTime
⏱ 2:13,RescueTime
⏱ 2:31,RescueTime
⏱ 2:41,RescueTime
⏱ 3:08,RescueTime
⏱ 3:09,RescueTime
⏱ 3:11,RescueTime
⏱ 3:24,RescueTime
⏱ 3:27,RescueTime
⏱ 3:33,RescueTime
⏱ 3:38,RescueTime
⏱ 3:56,RescueTime
⏱ 4:18,RescueTime
⏱ 4:27,RescueTime
⏱ 4:30,RescueTime
⏱ 4:50,RescueTime
⏱ 4:51,RescueTime
⏱ 5:03,RescueTime
⏱ 5:47,RescueTime
⏱ 5:49,RescueTime
⏱ 6:01,RescueTime
⏱ 6:15,RescueTime
⏱ 6:23,RescueTime
⏱ 6:31,RescueTime
⏱ 6:35,RescueTime
⏱ 6:55,RescueTime
⏱ 7:02 🗓 0:14,RescueTime
⏱ 7:05 🗓 0:36,RescueTime
⏱ 7:12,RescueTime
⏱ 7:44,RescueTime
⏱ 7:45,RescueTime
⏱ 7:51 🗓 0:15,RescueTime
⏱ 8:02,RescueTime
⏱ 8:22,RescueTime
⏱ 8:31,RescueTime
⏱ 9:05 🗓 0:18,RescueTime
🌙,Pessoal
🍌,Alimentação
🍳,Alimentação
🍽️,Alimentação
🎤 Aula de Canto,Compromisso
🎸 Aula de Guitarra,Compromisso
😎 Decompress,Pessoal
🥪,Alimentação
🧋,Alimentação
