SUMMARY,CALENDAR,TASK
probcomp - p2,Exames,Fazer a prova 2 de Probabilidade Computacional
trabalho als,Exames,Fazer o trabalho de analisadores léxicos e sintáticos
!projeto final psr,Exames,Fazer o projeto final PSR
birusamba de verao,Social,Ir para o birusamba de verão
t2 calculo,Exames,Fazer o teste 2 de cálculo
p3 calculo,Exames,Fazer a prova 3 de cálculo
dr bruno,Saúde,Consultar com o Dr. Bruno
quiropraxia,Saúde,Fazer quiropraxia
exame de imagem,Saúde,Fazer exame de imagem
cirurgiao,Saúde,Consultar o cirurgião
ortopedista,Saúde,Consultar o ortopedista
dermatologista,Saúde,Consultar o dermatologista
exame de sangue,Saúde,Fazer exame de sangue
endoscopia,Saúde,Fazer endoscopia
dentista,Saúde,Ir ao dentista
exames de imagem,Saúde,Fazer exames de imagem
bioimpedancia,Saúde,Fazer bioimpedância
oftalmologista,Saúde,Consultar o oftalmologista
livre,Saúde,livre
!viviane nutri,Saúde,Consultar Viviane Nutri
!dra. vania,Saúde,Agendar consulta com dra. Vania
pilates,Saúde,Fazer pilates
nutricionista,Saúde,Consultar a nutricionista
hogwarts legacy,Games,Jogar Hogwarts Legacy
minecraft: legends,Games,Jogar Minecraft: Legends
diablo iv,Games,Jogar Diablo IV
gmtk gamejam,Games,Participar da GMTK Gamejam
academia,Exercícios,Ir à academia
futevolei,Exercícios,Jogar futevolei
!academia ideal,Exercícios,Encontrar a academia ideal
muay thai,Exercícios,Fazer muay thai
basquete puc,Exercícios,Jogar basquete na PUC
spinning,Exercícios,Fazer spinning
!aula da liane,Pessoal,Fazer a aula da Liane
!casa do felipe,Pessoal,Ir à casa do Felipe
aniversario da minha irma,Pessoal,Comemorar o aniversário da minha irmã
aniversario da minha mae,Pessoal,Comemorar o aniversário da minha mãe
ps plus,Pessoal,Comprar PS Plus
meu aniversario,Pessoal,Comemorar meu aniversário
aniversario do meu pai,Pessoal,Comemorar o aniversário do meu pai
lembrar marie,Pessoal,lembrar marie
formatura csa,Pessoal,Participar da formatura da escola
help!,Pessoal,help!
aula,PUC,Assistir aula
baile da gaiola,Pessoal,Ir ao baile da gaiola
!amazonia,Pessoal,amazonia
aniversario de namoro,Pessoal,Comemorar o aniversário de namoro
estudar calculo e ficha 2,Pessoal,estudar calculo e ficha 2
season nova rl,Pessoal,Jogar a nova season de Rocket League
black friday,Pessoal,Fazer compras na Black Friday
facetime alessandra,Pessoal,Fazer Facetime com Alessandra
estudo,Pessoal,Estudar
arrumar,Pessoal,arrumar
barra shopping,Pessoal,Ir ao Barra Shopping
[nubank] vencimento da fatura de marco,Pessoal,Pagar a fatura de março do banco
almoco,Pessoal,Almoçar
feriado,Pessoal,Aproveitar o feriado
itaipava,Social,Ir a Itaipava
niver,Pessoal,Comemorar o aniversário
foco,Pessoal,Manter o foco
!primo rico,Pessoal,primo rico
devolucao zara,Pessoal,Devolver compras da Zara
!reuniao de cronograma do acessorio,Pessoal,Fazer a reunião de cronograma do acessório
c!orte masculino,Pessoal,Fazer corte masculino
gravacao comunicacao intercriar,Pessoal,Gravar a comunicação intercriar
oportunidade guelt | felipe khouri gameleira,Pessoal,Entrevista para a oportunidade guelt
wwdc-ss crash challenge,Pessoal,Fazer o desafio de crash da wwdc-ss
aldeia,Social,ir para a festa
!call checkpoint acessorio,Pessoal,Ligar para o checkpoint acessório
aldeia sabado [feriado],Pessoal,Ir para a festa no sábado de feriado
aldeia sabado,Pessoal,Ir para a festa no sábado
!gravacao acessorio,Pessoal,Gravar acessório
!fone,Pessoal,fone
quadcast,Pessoal,comprar microfone
gmkt jam - entrega,Pessoal,Entregar o jogo na gmkt jam
reuniao com outsystems,Pessoal,Fazer reunião com Outsystems
wwdc teaching - kick off,Pessoal,Fazer o kick off do ensino da WWDC
wwdc teaching - first steps,Pessoal,Fazer os primeiros passos do ensino da WWDC
!avaliacao imobiliaria,Pessoal,Fazer a avaliação imobiliária
!wwdc ilearning,Pessoal,Fazer o ilearning da WWDC
!mentoria inversu (felipe gameleira),Pessoal,Fazer mentoria inversu
decompress,Pessoal,Descomprimir
!mentoria inversu - felipe gameleira,Pessoal,Fazer mentoria Inversu com Felipe Gameleira
reservation at yusha,Pessoal,Fazer uma reserva no restaurante
entrevista estagio: felipe,Pessoal,Participar de entrevista de estágio
entrevista estagio desenvolvedor: felipe,Pessoal,Participar de entrevista de estágio desenvolvedor
estudar calculo,Pessoal,Estudar cálculo
ai salon rio de janeiro,Pessoal,Ir para o AI Salon no Rio de Janeiro
ia &,Pessoal,ia &
ai salon rio de janeiro #4,Pessoal,Ir para o AI Salon no Rio de Janeiro
ajuste de matricula,PUC,Participar do ajuste de matrícula
ajuste de matricula ii,PUC,Participar do ajuste de matrícula 2
volta as aulas,PUC,Voltar às aulas
inf1301 - programacao modular,PUC,Ir para aula de programação modular para INF1301
inf1018 - software basico,PUC,Ir para a aula de inf1018 - software basico
mat1260 - algebra linear 1,PUC,Ir para a aula de mat1260 - algebra linear 1
de para,PUC,Participar do de-para
t1 algebra,PUC,Fazer o teste 1 de álgebra
inf1018 - monitoria,PUC,Fazer a monitoria de INF1018
simulador de matricula,PUC,Participar da simulação de matrícula
matricula puc,PUC,Fazer a matrícula na PUC
inf1636 - programacao orientada a objetos,PUC,Ir para a aula de inf1636 - programação orientada a objetos
inf1027 - teste e medicao de software,PUC,Ir para a aula de inf1027 - teste e medicao de software
inf1383 - bancos de dados,PUC,Ir para a aula de inf1383 - bancos de dados
inf1316 - sistemas operacionais,PUC,Ir para a aula de inf1316 - sistemas operacionais
inf1403 - interacao humano computador,PUC,Ir para a aula de inf1403 - interacao humano computador
de/para regimental,PUC,Participar do de-para regimental
so: lab 1,PUC,Fazer o laboratório 1 de Sistemas Operacionais
ferias puc,PUC,Tirar férias na PUC
inf1032 - ciencia de dados,PUC,Ir para a aula de inf1032 - ciência de dados
inf1022 - analisadores lexicos e sintaticos,PUC,Ir para a aula de analisadores léxicos e sintáticos
inf1640 - redes de computadores,PUC,Ir para a aula de inf1640 - redes de computadores
inf1631 - estruturas discretas,PUC,Ir para a aula de inf1631 - estruturas discretas
cre1141 - etica crista,PUC,Ir para a aula de cre1141 - etica crista
inf1028 - projeto e construcao de sistemas,PUC,Ir para a aula de projeto e construção de sistemas
inf1307 - desenvolvimento de jogos,PUC,aula de desenvolvimento de jogos
inf1771 - inteligencia artificial,PUC,aula de inf1771 - inteligencia artificial
inf1010 - estruturas de dados avançadas,PUC,aula de inf1010 - estruturas de dados avançadas
inf1338 - large language models,PUC,aula de inf1338 - large language models
inf1721 - analise de algoritmos,PUC,aula de inf1721 - analise de algoritmos
inf1036 - probabilidade computacional,PUC,aula de inf1036 - probabilidade computacional
inf1350 - programacao de sistemas reativos,PUC,aula de inf1350 - programacao de sistemas reativos
inf1920 - aula expositiva,PUC,Assistir à aula expositiva de inf1920
conversa tcc felipe gameleira,PUC,Conversar sobre o TCC com orientador
mat4162 - calculo ii,PUC,aula de mat4162 - calculo 2
inf1314 - gerando startup com inteligencia artificial,PUC,aula de inf1314 - gerando startup com inteligencia artificial
reuniao tcc,PUC,Fazer reunião do TCC
teste calculo ii,PUC,Fazer teste de Cálculo II
devs no pilotis,PUC,Ir para evento devs no pilotis
!ingresso harry,Social,Comprar ingresso para Harry Potter
niver gabi,Social,Comemorar o aniversário da Gabi
nover sofia k,Social,comemorar o aniversario da sofia k
!thor,Social,thor
!the avengers,Social,Assistir The Avengers
!rafael portugal,Social,Encontrar Rafael Portugal
niver giovanna lopes,Social,Comemorar o aniversário da Giovanna Lopes
churrasclerigos,Social,Ir para churrasco
almoco vo,Social,Almoçar com a vovó
santa sexta,Social,Ir para a festa
niver gi fortes,Social,Comemorar o aniversário da Gi Fortes
casamento,Social,Ir para o casamento
rock in rio,Social,Ir ao Rock in Rio
niver amanda,Social,Comemorar o aniversário da Amanda
niver luana maia,Social,Comemorar o aniversário da Luana Maia
niver lara,Social,Comemorar o aniversário da Lara
niver mae,Social,Comemorar o aniversário da mãe
ballet marina,Social,Levar namorada no ballet
harry styles - love on tour - rio de janeiro,Social,Assistir ao show do Harry Styles - Love on Tour no Rio de Janeiro
!pulo big jump,Social,Pular o big jump
!resenha felipe,Social,Fazer resenha com Felipe
niver isabella,Social,Comemorar o aniversário da Isabella
festa niver,Social,Comemorar o aniversário
niver felipe,Social,Comemorar o aniversário do Felipe
niver laura,Social,Comemorar o aniversário da Laura
niver aninha,Social,Comemorar o aniversário da Aninha
niver rapha,Social,Comemorar o aniversário do Rapha
prime day,Social,Comprar no Prime Day
niver julia,Social,Comemorar o niver da Julia
niver carol benchimol,Social,Comemorar o aniversário da Carol Benchimol
festa duda castro,Social,Participar da festa da Duda Castro
churras marcos,Social,Fazer churrasco com Marcos
!festa re,Social,festa re
viagem secretario,Social,Viajar para Secretário
os barbixas,Social,Assistir aos Barbixas
rpg goulart,Social,Jogar RPG com Goulart
churras caio,Social,Ir ao churrasco do Caio
niver millena,Social,Comemorar o aniversário da Millena
niver lu,Social,Comemorar o aniversário da Lu
niver caroli,Social,Comemorar o aniversário da Caroli
niver be,Social,Comemorar o aniversário do Bernardo
formatura renata,Social,Participar da formatura da Renata
niver lucca,Social,Comemorar o aniversário do Lucca
niver caio,Social,Comemorar o niver do Caio
churras ze,Social,Fazer churrasco
apple developer academy,Trabalho,Trabalhar no Apple Developer Academy
animate ideas with keynote,Trabalho,Animar ideias com Keynote
programar cena,Trabalho,programar cena
lab,Trabalho,Fazer o laboratorio
apple,Trabalho,Trabalhar
academy,Trabalho,Trabalhar
wwdc,Trabalho,Participar do WWDC
reuniao nick + tio,Trabalho,Fazer reunião com Nick e tio
churrasco academy,Trabalho,Ir para o churrasco do trabalho
trabalho i9,Trabalho,Trabalhar
i9 cultura,Trabalho,Trabalhar
reuniao prog atlas,Trabalho,Fazer reunião sobre o programa Atlas
ecoa,Trabalho,Trabalhar
conversa bruno,Trabalho,Conversar com Bruno
reuniao play time - goulart,Trabalho,Fazer a reunião play time com Goulart
reuniao play time,Trabalho,Participar da reunião Play Time
m3,Trabalho,Trabalhar
petropolis,Viagens,Viajar para Petrópolis
petropolis torres,Viagens,Viajar para Petrópolis
petropolis juliana,Viagens,Viajar para Petrópolis
